Kategori,Judul,Isi
Peristiwa Internasional,Mutiara Puteri Pribadi: Membawa Semangat dan Prestasi Mahasiswa Indonesia di Malaysia,"Berani melangkah keluar dari zona nyaman dan mengejar impian di luar negeri adalah pilihan yang tidak mudah. Namun, bagi Mutiara Puteri Pribadi, mahasiswa asal Indonesia, peluang tersebut dianggap sebagai tantangan yang harus dihadapi dengan berani.

Mutiara yang lahir pada 8 November 1997 ini memilih untuk mengejar pendidikan sarjana dan magister di Universiti Putra Malaysia (UPM), sebuah langkah besar yang memisahkan dirinya dari tanah kelahiran. Keputusannya ini membuka pintu menuju pengalaman luar biasa yang akan membentuk masa depannya.

Pada tahun 2018, Mutiara mengambil bagian dalam Asian Games 2018 sebagai International Relations and Protocol Officer. Ia mendampingi HRH Tan Sri Dato’ Seri Tunku Iman dari Negeri Sembilan, yang menjadi langkah awal penting dalam meniti karier di Malaysia.

Mutiara memiliki pandangan yang kuat bahwa prestasi akademik bukanlah satu-satunya penentu nilai seseorang. Baginya, tindakan nyata memiliki dampak yang lebih besar. Pada saat menjalani program magister di UPM, ia menjadi mahasiswa Indonesia pertama yang terpilih sebagai anggota Dewan Perwakilan Mahasiswa UPM di kalangan mahasiswa pasca sarjana.

Selama masa jabatannya di dewan mahasiswa, Mutiara mewujudkan visinya dengan menciptakan portal online bernama 'MPP Help Desk'. Aplikasi ini bertujuan untuk memberikan akses yang lebih baik dan mudah bagi mahasiswa magister dan doktor di UPM untuk mendapatkan bantuan akademik yang mereka butuhkan.

Selain berprestasi akademik, Mutiara juga aktif di dunia politik mahasiswa UPM, terutama sebagai anggota Nadi Mahasiswa, sebuah partai mahasiswa yang menekankan pentingnya mendukung dan memfasilitasi mahasiswa pendidikan tinggi di UPM.

Prestasinya tidak hanya terbatas pada lingkungan kampus. Mutiara juga menjadi perwakilan Dewan Perwakilan Mahasiswa UPM di kalangan mahasiswa pasca sarjana yang menginspirasi pembentukan Model Pembangunan Pemuda Malaysia Baru (MBPB) 2030.

Mutiara-Puteri-Pribadi2d643dda074bca81.jpg

Diskusi ini melibatkan Kementerian Pemuda dan Olahraga (KBS) serta Majlis Belia Malaysia (MBM) pada tahun 2021.

Dalam peran ini, Mutiara mendorong isu-isu penting seperti kesetaraan antara wanita muda dan keterlibatan pemuda yang bermakna di semua tingkatan. Ia juga mendukung pembentukan kemitraan antara pemuda dan orang dewasa sesuai dengan profesionalisme pekerja pemuda.

Kepemimpinan dan kemampuan kerja sama yang rendah hati membuat Mutiara menjadi inspirasi bagi rekan-rekannya dalam menciptakan fasilitas mahasiswa yang lebih baik dan berdampak positif.

Prestasinya diakui dengan baik oleh UPM, di mana ia menjadi mahasiswa Indonesia pasca sarjana pertama yang dinominasikan sebagai finalis Putra Icon Awards (Anugerah Putra Ikon) 2019 - 2021. Penghargaan ini diberikan kepada mahasiswa yang telah mencapai prestasi tinggi dalam akademik, kepemimpinan, karakter, dan kegiatan ekstrakurikuler.

Pada bulan Agustus 2021, Mutiara menjadi satu-satunya anggota komite Indonesia dalam Parlimen Wanita Muda Malaysia. Gadis kelahiran Semarang 26 tahun yang lalu tersebut juga menjadi bagian dari program parlemen wanita virtual pertama yang dihadiri oleh 222 wanita muda berusia 15 hingga 35 tahun.

Program ini bertujuan untuk mengatasi, membahas, dan mengkonsolidasikan isu-isu kesetaraan dan persamaan wanita di Malaysia. Program tersebut disiarkan di berbagai platform media sosial dan bahkan dibagi menjadi dua sesi, menandai sejarah baru dalam pembahasan isu-isu wanita.

Sebagai bagian dari Media Hubungan Internasional dan Sekretaris Parlemen selama masa parlemen, Mutiara mengadakan program virtual online bernama ""The Power of Women to Change the World,"" mengundang beberapa perempuan di bawah usia 30 tahun yang dihormati oleh Forbes.

Keterlibatannya dalam parlemen wanita adalah panggilan untuk lebih beraksi dalam Pembangunan Pemuda Malaysia dan keyakinan dalam pemberdayaan perempuan.

Selain aktif di Malaysia, Mutiara juga terlibat dalam berbagai organisasi mahasiswa Indonesia. Ia menjadi Manajer Hubungan Masyarakat Radio Perhimpunan Pelajar Indonesia (PPI) mulai 2020 hingga 2022.

Dirinya juga menjadi bagian dari Divisi Hubungan Media Eksternal Perhimpunan Pelajar Indonesia Dunia (PPI Dunia) di wilayah Asia-Oseania dari 2020 hingga 2021.

Prestasinya terus berkembang, dan ia terpilih sebagai Kepala Media Digital dan Media Cetak Perhimpunan Pelajar Indonesia Dunia dari tahun 2021 hingga 2022.

Mutiara Puteri Pribadi adalah contoh teladan bagi mahasiswa Indonesia yang mengejar pendidikan di luar negeri. Sebagai warga Indonesia, ia telah membawa kehormatan bagi negaranya dan terus melanjutkannya. Dirinya merupakan bukti hidup bahwa semangat, dedikasi, dan kerja keras dapat mengubah dunia, dan ia adalah aset berharga bagi Indonesia di mata dunia."
Kuliner,Menikmati Kopi Deplok di Warkop Yasak Gresik,"Berdiri sejak 1975, Warkop Yasak di Kecamatan Bungah Kabupaten Gresik tetap menjadi primadona. Kopi Deplok (Ditumbuk manual) yang disajikan menambah kenikmatan kopi tersebut.

Saat ini Warung Kopi Yasak diteruskan oleh Muhammad Wahid dikenal Cak Mad generasi ke 3. Awalnya dulu terkenal Warung Nasi Rawon dengan Kare. 

Dahulu warung berada di dalam kampung kemudian pada tahun 1975 pindah, lalu dirubah menjadi Warung Kopi (warkop), yang sejak dari dulu sudah terkenal dengan Kopi-nya.

""Baru tahun 2009 diberi nama dari nama orang tua, Warung Kopi Yasak. Kopi Kasar ini manual dideplok menggunakan tungku tanah liat, bukan karena di blender,"" katanya, Selasa (13/6/2023).

Cak Mad menyatakan, ada dua jenis kopi yang disajikan. kopi kasar dan halus, dengan harga mulai Rp 4 ribu dan kopi susu Rp 5ribu.

""Dulu juga ada variasi menu Kopi Tumpuk, namun karena kurang peminatnya, akhirnya tidak diteruskan,"" ujar dia.

Saat ini, Warkop Yasak terus mengembangkan usaha kopi nya dengan memproduksi Produk kopi kemasan sendiri, Kopi Kasar yang dimulai tahun 2016.

Harga Kopi kemasan yang dijual dengan kemasan alumunium mulai dari takaran 250 gram dengan harga Rp 30 ribu hingga kemasan 100 gram dengan harga Rp 110 ribu. 

Sedangkan yang kemasan 1 Kg mulai Rp 85 ribu sampai Rp 90 ribu. Saat ini, baru ada lima belas Warkop yang mengambil Kopi Deplok miliknya, mulai dari warung sekitar, serta juga dari Lamongan.

""Kedepannya akan menggunakan alat yang lebih modern serta lebih bervariasi mengikuti segmen,"" kata Cak mad.

Selain warga setempat, penikmat kopi ini datang dari pejabat kalangan atas. Salah satunya Menparekraf Sandiaga Salahuddin Uno yang meminta asistennya untuk membeli di warkop miliknya.

""Ada juga, crew Jejak Si Gundul saat acara TV di Desa Legowo, sempat kesini menikmati kopi,"" terangnya.

Untuk memperluas usaha produk Kopi Yasak Bungah Gresik agar lebih dikenal lagi, Cak Mad membuka peluang bagi yang berminat menjadi Reseller untuk kontak person nantinya akan menggunakan langsung dari Reseller. (*)"
Hukum dan Kriminal,Syahrul Yasin Limpo Dijemput Paksa Penyidik KPK,"Usai ditetapkan sebagai tersangka, Komisi Pemberantasan Korupsi (KPK) dikabarkan telah menangkap mantan Menteri Pertanian Syahrul Yasin Limpo (SYL). 

Dilansir dari detik.com, salah satu sumber terpercayanya mengabarkan, SYL ditangkap oleh penyidik KPK saat berada di salah satu apartemen di kawasan Jakarta Selatan. 

“Di apartemen,” ucap sumber terpercaya detik.com menjelaskan lokasi penangkapan SYL oleh penyidik KPK, Kamis (12/10/2023). 

Hingga berita ini diturunkan, TIMES Indonesia telah berupaya menghubungi KPK dan belum ada tanggapan resmi dari pihak KPK terkait penangkapan SYL. 

Diberitakan sebelumnya, mantan Menteri Pertanian Syahrul Yasin Limpo diumumkan menjadi tersangka korupsi oleh KPK. 

Selain politikus Partai NasDem tersebut, KPK juga menetapkan dua anak buah Syahrul sebagai tersangka korupsi. Mereka adalah Sekjen Kementan Kasdi Subagyono, dan Direktur Alat dan Mesin Pertanian Muhammad Hatta.

Syahrul diduga memberikan perintah kepada mereka untuk mengutip uang dari unit eselon I dan II di kementerian yang dipimpinnya saat itu. Lalu, uang yang disetorkan diduga bersumber dari penggelembungan realisasi anggaran di Kementan dan para vendor.

Uang itu kemudian disetorkan secara rutin ke Syahrul setiap bulan. ""Besaran nilai yang telah ditentukan Syahrul dengan kisaran besaran mulai 4.000 dolar AS sampai dengan 10.00 dolar AS,"" kata Wakil Ketua KPK Johanis Tanak dalam konferensi pers dikutip TIMES Indonesia dari YouTube KPK.

Kata dia, uang haram itu digunakan oleh Syahrul untuk kepentingan pribadi dan keluarganya. Jumlah keseluruhan uang yang dinikmati oleh ketiganya sekitar Rp 13,9 miliar. ""Penelusuran lebih mendalam masih terus dilakukan oleh tim penyidik (KPK),"" ujarnya.

Sedianya ia sudah dipanggil KPK, Rabu (11/10/2023). Namun ia tak memenuhi panggilan itu, alasannya ingin menjenguk orang tuanya di Makassar. (*)"
Hukum dan Kriminal,"Diancam Hukuman Mati, 2 Gembong Narkoba Asal Kroya Cilacap Ini Ditangkap","Terancam hukuman mati, 2 gembong narkoba asal Kroya, Cilacap yaitu HS (33) dan AH (37) ditangkap jajaran Satres Narkoba Polresta Cilacap. 

HS dan AH ditangkap di 2 lokasi berbeda di wilayah Cilacap, berkat kerja sama dengan bea cukai. 

Barang bukti (BB) yang berhasil disita berupa obat-obat terlarang jenis narkotika golongan 1 sebanyak 320 ribu butir dengan nilai sekitar Rp 800 juta hingga Rp 1 miliar. 

Polresta-Cilacap-5.jpgKedua pelaku digiring ke tempat konferensi pers. (FOTO: Estanto Prima Yuniarto/TIMES Indonesia)

""Obat terlarang yang kami amankan ini jenis pil berwarna putih dengan kandungan ibu proven, acetaminoven, dan casrisoprodol,"" kata Kapolresta Cilacap Kombes Pol Fannky Ani Sugiharto saat pers rilis di Mapolresta Cilacap, Selasa (31/10/2023). 

Fannky menjelaskan, barang bukti yang berhasil diamankan berkat penelusuran ekspedisi di wilayah Surabaya. ""Barang yang besar ini belum sempat beredar. Namun, kemungkinan sudah diedarkan sebagian oleh tersangka,"" imbuh Kapolresta. 

Menurut keterangan salah satu tersangka, kata Fannky, barang diperoleh dari Banjarmasin kemudian dikirim melalui jasa ekspedisi tujuan Cilacap. 

Polresta-Cilacap-6.jpg

Dalam melakukan aksinya, tersangka menggunakan modus menjual obat terlarang tersebut melalui jasa pengiriman paket. 

""Sasarannya anak-anak remaja produktif terutama anak-anak pelajar tingkat SMP dan SMA di wilayah Kabupaten Cilacap,"" tutur Kombes Pol Fannky. 

Akibat perbuatannya, kedua tersangka dikenakan Pasal 114 ayat (2) sub Pasal 112 ayat (2) UU No 35 Tahun 2009 tentang narkotika juncto pasal 55 ayat 1 kesatu KUHP. ""Ancaman hukuman 20 tahun penjara atau maksimal hukuman mati,"" tandas Kapolresta Cilacap, sembari pihaknya akan mencoba mengembangkan kasus peredaran narkotika ini. (*)"
Peristiwa Internasional,Rangkaian Program Artemis NASA: Membangun Rumah di Bulan dengan Budget Melebihi Sultan,"NASA saat ini tengah memulai proyek ambisius yang akan mengubah cara kita melihat Bulan. Proyek ini melibatkan pembangunan rumah planet yang menjadi salah satu satelit Bumi tersebut. 

Rencananya bangunan tersebut tidak hanya akan menjadi tempat tinggal bagi astronot, tetapi juga akan terbuka bagi masyarakat umum yang ingin menjelajahi Bulan dalam rangka tujuan wisata.

Proyek tersebut merupakan bagian integral dari Rangkaian Program Artemis yang menawan, sebuah inisiatif besar yang bertujuan untuk membawa manusia kembali ke Bulan.

Northrop Grumman Corp Mengemban Tugas Penting
Proyek rumah di Bulan yang ambisius ini akan ditangani oleh Northrop Grumman Corp.  Perusahaan yang juga berhasil memenangkan tender proyek Artemis pada tahun 2017.

Program Artemis, yang diambil nama dari dewi Bulan dalam mitologi Yunani  merupakan langkah besar dari NASA yang bertujuan untuk mengembalikan manusia ke Bulan. Kini, proyek ini lebih dari sekadar mendaratkan manusia di sana namun tentang membangun basis yang berkelanjutan di sana.

Untuk merealisasikan rumah di Bulan ini, Northrop Grumman Corp telah berhasil memenangkan tender dengan anggaran mencapai IDR 14,5 triliun atau $935 juta. Angka ini mencerminkan komitmen NASA untuk mengembangkan infrastruktur di Bulan.

Lebih dari itu, NASA juga tengah mengirimkan bahan-bahan dan perbekalan untuk memastikan keberlangsungan misi Bulan, termasuk pasokan air dan makanan bagi astronaut yang akan tinggal di sana.

Eksplorasi Bulan Menjadi Agenda Global
NASA bukan satu-satunya lembaga luar angkasa yang tertarik untuk mengeksplorasi Bulan. Hingga saat ini, sudah ada 8 negara yang telah menandatangani perjanjian untuk menjalankan misi eksplorasi Bulan.

Negara-negara ini termasuk Amerika Serikat, Italia, Australia, Kanada, Jepang, Luxembourg, Inggris, dan Arab Saudi, yang semuanya sepakat untuk menjadikan Bulan sebagai pusat perhatian dalam penjelajahan luar angkasa.

Tujuan-tujuan Misi Artemis
Dilansir dari laman resmi mereka, NASA memiliki sejumlah tujuan utama dalam Misi Artemis ini. Pertama, adalah mengarahkan umat manusia ke jalur keberlanjutan di Bulan. Artinya, lembaga ini tidak hanya ingin mendaratkan manusia di sana, tetapi juga membangun infrastruktur dan sumber daya yang dapat mendukung kehidupan manusia dalam jangka panjang.

Selain itu, tujuan lainnya adalah mendaratkan manusia di Bulan pada tahun 2024, yang akan menjadi langkah besar dalam mengamankan masa depan eksplorasi luar angkasa.

China juga telah mengumumkan rencana untuk membangun stasiun luar angkasa di Bulan pada tahun 2030. Hal ini menunjukkan bahwa Bulan benar-benar telah menjadi pusat perhatian dalam penjelajahan luar angkasa masa depan.

Persaingan antara negara-negara ini dan sektor swasta yang semakin terlibat dalam eksplorasi Bulan mengindikasikan potensi besar untuk masa depan penjelajahan luar angkasa.

Proyek pembangunan rumah di Bulan dengan budget yang melebihi Sultan adalah langkah besar dalam upaya manusia untuk menjelajahi alam semesta yang lebih luas.

Dengan kolaborasi antara NASA, Northrop Grumman Corp, dan negara-negara lain, Bulan akan menjadi lebih dari sekadar objek di langit malam kita. Ia akan menjadi pintu gerbang menuju eksplorasi lebih lanjut di luar angkasa dan mungkin suatu hari nanti, menjadi destinasi wisata yang dapat dijangkau oleh semua orang. (*)"
Kesehatan,"Telur Dadar vs Ceplok, Mana Lebih Sehat?","Telur salah satu sumber protein hewani yang mudah didapat dan harganya terjangkau. Maka tak salah jika banyak orang yang suka memilih telur sebagai lauk sehari-hari. Ada berbagai olahan telur yang umum dijumpai, dari cara yang paling sederhana yaitu ceplok dan dadar. 

Telur ceplol sangat praktis, tinggal dipecahkan dan digoreng dalam minyak panas. Ditaburi sedikut garam supaya terasa lebih gurih. 

Tak kalah praktis, bikin telur dadar paling enak dimasak dengan irisan daun bawang, sedikit garam dan merica. Dimakan bersama nasi hangat dan kecap sudah sangat nikmat. 

Tapi ternyata ahli gizi mengungkap, ada perbedaan gizi yang didapat dari kedua olahan tersebut. Secara umum, telur memang mengandung gizi dan nutrisi yang dibutuhkan tubuh. 

Telur memiliki kandungan nutrisi lengkap, karena mengandung hampir semua zat gizi yang diperlukan tubuh. Kandungan gizi tersebut di antaranya kalori, protein, lemak, karbohidrat, kalsium, fosfor, vitamin A, Vitamin B. 

Namun karena proses pengolahan yang berbeda menjadikan nilai gizi tersebut berubah. Perhimpunan Ahli Teknologi Pangan Indonesia menuliskan nilai gizi pada telur dadar lebih rendah dibanding dengan telur ceplok.

Alasannya putih telur mengandung senyawa avidin yang bertugas mengikat senyawa biotin yang terdapat di kuning telur. Senyawa biotin disebut juga vitamin H, yang dapat meningkatkan metabolisme karbihidrat, lemak, protein dalam tubuh. Sehingga jika biotin bekerja dengan maksimal, maka dapat menghindari dari gangguan kesehatan, seperti diabetes tipe2, rambut rontok, serta depresi. 

Jika putih telur 'dihancurkan' saat proses membuat telur dadar, maka avidin akan mengikat senyawa biotin. emanasan setelah telur dikocok dapat mengakibatkan beberapa senyawa biotin ikut pecah bersama senyawa avidin yang berarti kadar vitamin-H dalam telur tersebut ada yang hilang. Dengan begitu nutrisi yang terkandung di dalamnya juga ikut berkurang. Meski demikian, masi ada nutrisi lainnya dalam telur dadar yang bermanfaat bagi tubuh. 

Berbeda dengan telur ceplok, di mana kuing dan putih telur tidak menyatu. Tentunya senyawa biotin dan avidin masing-masing akan bekerja di dalam tubuh. 

Namun ahli gizi berpendapat cara mengonsumsi telur yang paling tepat adalah direbus dengan baik dan sempurna. 

Jadi Anda tim telur rebus, ceplok atau dadar? (*)"
Otomotif,Event Road Race Kembali Hadir di Magetan,"Event Road Race berskala regional akan kembali hadir di Kabupaten Magetan pada 4 Juni 2023 yang dikemas dengan nama 'Bupati Magetan Cup Road Race Championship 2023'.  

Dalam event besar tersebut, akan ada 27 kelas yang dipertandingkan, salah satunya seperti Bebek 4T 150 cc Mix Rider, Bebek 2T 125 cc Std Mix Rider, Matic 115 cc Std Mix Rider, dan masih banyak lagi. Serta bisa diikuti oleh pembalap lokal Magetan maupun Karesidenan Madiun Raya.

Kepada TIMES Indonesia, Ketua Ikatan Motor Indonesia (IMI) Magetan, Risto Ariesta Vialle yang merupakan kakak kandung dari pembalap Moto 3 asal Magetan, Mario Suryo Aji mengatakan, pihak penyelenggara road race tersebut dari IMI Jatim, Promotor serta bekerjasama dengan Pemkab Magetan dan IMI Magetan.

""Pendaftaran bisa dilakukan di Sekretariat IMI Magetan yang juga di rumah Mario Suryo Aji di Jl. KH Dewantoro No. 1, Kecamatan Selosari, Magetan mulai 1 - 3 Juni. Untuk biaya pendaftarannya Rp. 600 ribu,"" ujarnya saat ditemui di Sekretariat IMI Magetan,"" Senin (22/5/2023). 

Harapannya dengan adanya ajang tersebut bisa memicu hadirnya bibit - bibit muda pembalap di Magetan seperti Mario Suryo Aji dan M. Adenanta Putra. 

""Dengan adanya event ini, harapan kita akan muncul pembalap lokal yang memiliki potensi, jadi kedepannya bisa mengikuti jejak dari Mario maupun Adenanta ataupun bisa lebih baik prestasinya, serta mudah - mudahan IMI Magetan juga bisa menggelar event yang serupa,"" terangnya. 

Dalam pembukaan road race tersebut, Bupati Magetan, Suprawoto pun akan turut hadir untuk meramaikan. 

""Insyaallah, secara otomatis dengan berjalannya event road race tersebut juga bisa mengangkat nama Kabupaten Magetan di kancah olahraga balap motor di ajang resmi,"" ungkapnya. 

Sementara itu, ajang Bupati Magetan Cup Road Race Championship 2023' akan digelar di sirkuit Jalan Mayjend Sungkono, Magetan pada 4 Juni 2023 dan dimulai pukul 09.00 WIB. Untuk informasi lebih lanjut bisa langsung mengunjungi laman media sosial IMI Magetan. (*)"
Wisata,"Sensasi Unik Berlibur di Pantai Segara Bali, Ada Patung Ikonik 18 Meter dan Dekat Bandara","Pantai Segara menjadi salah satu destinasi wisata pilihan saat anda berkunjung ke Bali. Lokasinya di Desa Adat Tuban, Kecamatan Kuta Kabupaten Badung.

Pantai yang masih satu garis dengan Pantai Kuta ini menampilkan air laut yang tenang sehingga cocok untuk digunakan berenang di tepiannya.

Selain itu, pemandangan saat wisatawan berkunjung ke pantai yang juga dikenal sebagai Pantai Jerman ini, lebih asri dengan adanya tanaman dan rerumputan hijau di sepanjang area jogging track.

Keberadaan pantai ini Semakin memukau karena kini sudah ada patung ikonik setinggi 18 meter yang baru selesai dibangun akhir 2022 lalu. Patung itu adalah Patung Dewa Baruna yang sejajar dengan patung Ratu Laut Selatan dan Dewi Quan In setinggi 9 Meter.

Biasanya, pantai ini ramai dikunjungi setiap sore oleh para wisatawan untuk melakukan berbagai aktivitas seperti berenang, bermain voli atau sepak bola pantai ditemani lintasan pesawat yang akan landing di landasan pacu Bandara Ngurah Rai.

Ya, berwisata di pantai yang berdekatan dengan Bandara Ngurah Rai ini memang memiliki sensasi tersendiri karena wisatawan dapat menyaksikan pesawat yang terbang semakin rendah sebelum akhirnya landing di landasan.

Menjelang senja, keunikan dari semburat jingga matahari yang akan terbenam di ufuk barat sangat eksotis disaksikan dengan keberadaan patung Baruna sehingga pantai ini menjadi spot terbaik untuk menikmati sunset.

Bahkan, di sini wisatawan dapat berswafoto dengan suasana sunset ditemani Ratu Laut Selatan yang mempercantik Laut Kuta.

Lebih lengkap momen berharga seperti itu dilewatkan bersama keluarga dan orang yang kita kasihi sambil menikmati jagung bakar atau jajanan kuliner lainnya yang tersedia di area Pantai Segara, Bali. (*)"
Peristiwa Internasional,"Selama 30 Hari, Israel Telah Membantai 4008 Anak-anak di Gaza","Sampai Senin (6/11/2023) hari ini, setidaknya 4.008 anak telah meninggal dunia akibat serangan brutal Israel di jalur Gaza yang tiada pernah berhenti.

""Inilah pembantaian yang sesungguhnya,"" kata Arafat Abu Mashaia, seorang warga kamp al-Maghazi, Minggu pagi sambil berdiri di reruntuhan rumah yang hancur

Ia mengatakan serangan udara Israel meratakan beberapa rumah bertingkat tempat orang-orang yang terpaksa keluar dari wilayah lain di Gaza berlindung.

Menurut kementerian kesehatan Palestina, total sampai hari ini 9.770 warga Palestina  dibunuh oleh Israel melalui bombardir nya tiada henti selama hampir sebulan menurut kementerian kesehatan Palestina.

""Semua yang ada di sini adalah orang-orang yang damai. Saya menantang siapa pun yang mengatakan ada pejuang perlawanan di sini,"" kata Arafat Abu Mashaia dengan marah.

Kamp tersebut, yang merupakan kawasan perumahan, terletak di zona evakuasi dimana militer Israel mendesak warga sipil Palestina untuk mencari perlindungan karena mereka memfokuskan serangan militernya ke utara.

Saeed al-Nejma, 53, mengatakan dia sedang tidur bersama keluarganya ketika ledakan terjadi di lingkungan tersebut. 

""Sepanjang malam, saya dan teman-teman lainnya berusaha mengambil korban tewas dari reruntuhan. Kami punya anak dipotong-potong, dicabik-cabik dagingnya,"" katanya dengan histeris.

Pada Minggu sore, Israel juga menghujani beberapa rumah di dekat sebuah sekolah di kamp pengungsi Bureji di Gaza tengah dengan bombardirnya hingha menyebabkan sedikitnya 13 orang meninggal dunia.

Kamp tersebut dihuni oleh sekitar 46.000 orang dan juga diserang pada Kamis lalu. Pembunuhan di Gaza tidak ada habisnya seiring kampanye Israel yang hampir sebulan

Kamp pengungsi al-Maghazi dan Jabalia di Gaza telah tiga kali dihujani bom lewat serangan udara Israel dalam 24 jam terakhir. Lebih dari 50 warga Palestina meninggal dunia dalam serangan di kamp pengungsi al-Maghazi dan Jabalia di Gaza.

Sebegitu jauh, Perdana Menteri Israel, Benjamin Netanyahu dengan congkaknya menegaskan tidak ada gencatan senjata sampai para sandera dibebaskan

Benjamin Netanyahu sekali lagi mengesampingkan segala jenis gencatan senjata di Gaza sampai semua sandera yang ditangkap oleh Hamas dikembalikan. Dia juga berulang kali menolak seruan untuk menghentikan pertempuran.

""Tidak akan ada gencatan senjata tanpa kembalinya sandera kami, kami mengatakan hal ini kepada musuh dan teman kami. Kami akan terus melanjutkannya sampai kami mengalahkan mereka,"" kata Netanyahu kepada awak udara dan darat di pangkalan angkatan udara Ramon di Israel selatan hari ini.

Amerika Serikat juga tidak setuju ada gencatan senjata, dan hanya meminta ada jeda kemanusiaan.

Menteri Luar Negeri AS, Antony Blinken yang Minggu kemarin mendadak ke Tepi Barat untuk bertemu dengan para pemimpin Palestina juga mendesak jeda kemanusiaan dalam perang tersebut.

Namun sikap Blinken itu berseberangan dengan para pemimpin negara-negara Arab yang menginginkan gencatan senjata, dan sampai hari ini, setidaknya 4.008 anak  meninggal dunia akibat serangan brutal Israel di jalur Gaza. (*)"
Wisata,Ternyata Ini Asal Usul Bukit Teletubbies Kawah Wurung Bondowoso ,"Keindahan alam yang kita nikmati saat ini tidak semerta-merta ada begitu saja. Ada proses panjang yang terjadi. Termasuk Bukit Teletubbies Kawah Wurung Bondowoso.

Ternyata Kawah Wurung Bondowoso yang nampak elok dipandang mata melalui proses alam yang sangat dahsyat. 

Bahkan mungkin kala itu belum ada peradaban manusia di Bumi Ki Ronggo (sebutan untuk Bondowoso).

Kawah Wurung sendiri termasuk dalam situasi geologi Ijen Geopark, dan kini masuk dalam situs geopark dunia atau UNESCO Global Geopark (UGG).

Secara geografis, Kawah Wurung terletak di antara perbatasan Desa Jampit dan Desa Kalianyar, Kecamatan Ijen, Kabupaten Bondowoso. 

Jika anda berkunjung ke sana. Anda akan melihat banyak anak pegunungan yang sangat indah dan sejumlah bukti yang mengelilingi kawah.

Di antara gunung yang mengelilingi Kawah Wurung adalah Gunung Kawah Wurung, Gunung Genteng, Gunung Pendil, Gunung Pendlan, dan Gunung Anyar. 

Tenaga Ahli Budaya dan Pendidikan Masyarakat pada Pengurus Harian Ijen Geopark (PHIG), Hosnul Wahid mengatakan, proses terbentuknya Kawah Wurung ini dimulai dengan ledakan luar biasa pada ratusan ribu tahun lalu.

Awalnya, kondisi alam Ijen tidaklah seperti saat ini. Sebab dulunya di sana merupakan sebuah gunung api aktif yang disebut Gunung Ijen Purba.

Menurutnya, Gunung Ijen Purba diperkirakan memiliki ketinggian 3.500 Mdpl (meter di atas permukaan laut).

Menurutnya, banyak pendapat tentang puncak Gunung Ijen Purba. Ada yang menyebutkan satu puncak. Kemudian peneliti lain meyakini lebih dari satu puncak.

Aktivitas vulkanisme Gunung Ijen Purba berlangsung sekitar 700.000 - 300.000 tahun lalu. Kemudian terjadilah letusan dahsyat sekitar 300.000 hingga 50.000 tahun lalu.

""Jadi dapur magma memuntahkan lava ke luar. Ledakan itu terjadi beberapa fase,"" kata dia saat dikonfirmasi. 

Setelah dapur magma memuntahkan lava ke luar permukaan. Maka bagian bawah gunung Ijen Purba kosong. 

Gunung Ijen Purba kemudian ambles dan membentuk sebuah kaldera atau cerukan yang menyerupai wajan. Hamparan kalender tersebut berdiameter 18 kilometer dengan luas 210 kilometer. 

Tidak hanya membentuk Kaldera. Letusan Gunung Ijen Purba menghasilkan 22 anak gunung. Salah satunya adalah Gunung Anyar.

Ada fase dimana anak gunung tersebut mengalami letusan dan melontarkan lahar panas. Lahar panas Gunung Anyar mengalir ke salah satu lokasi yang saat ini dikenal Kawah Wurung.

Dalam proses vulkanisme tersebut, terjadi letupan-letupan kecil hingga membentuk sebuah bukit. Salah satunya Bukit Teletubbies.

""Letupannya kayak orang bikin dodol. Makanya di puncak bukit-bukit ada cerukan,"" kata dia.

Sementara lahar panas yang mengalir dari Gunung Anyar mengalami pembekuan dan menjadi batu andesit atau black lava.

Bebatuan tersebut mudah ditemui di Kawah Wurung dan di beberapa destinasi wisata alam di Kecamatan Ijen.

""Bagian Tengah Kawah Wurung memang tidak ada batu cadas. Karena lahar mengalir ke posisi yang lebih rendah dan tumpang tindih,"" ucap dia.

Menurutnya, Kemungkinan besar masih ada aktivitas vulkanisme Kawah Wurung, meskipun tidak sebesar ratusan ribu tahun lalu. ""Buktinya sekarang dilakukan pengeboran panas bumi di sana,"" kata dia.

Bahkan tidak menutup kemungkinan akan terjadi ledakan lagi. ""Tapi itu melalui proses panjang, bisa hingga ribuan tahun nanti,"" ujar dia.(*)"
